h,AJI,s,AIJ,1
,CAF,efs,ACF,1
,CAL,fklmosx,ACL,1
,CUZ,,CUZ,1
o,DAS,h,ADS,1
,DEP,s,DEP,1
,DOH,s,DHO,1
,DUM,abp,DMU,1
d,ECO,s,CEO,1
e,EEW,,EEW,1
dm,EMO,s,EMO,1
bfghjlnprtvwz,EST,s,EST,2
,FAH,s,AFH,1
,FOO,dlst,FOO,2
,GIF,st,FGI,1
e,GIS,t,GIS,2
,GRR,,GRR,1
w,HOM,aeosy,HMO,1
s,HOO,dfkpt,HOO,1
b,LAH,s,AHL,1
,LOR,deny,LOR,1
,LUD,eos,DLU,1
,LUN,aegksty,LNU,1
i,MAM,as,AMM,1
,MEH,,EHM,1
e,MES,ahs,EMS,1
h,MMM,,MMM,1
,MOI,l,IMO,1
,MUX,,MUX,1
,NAV,esy,ANV,1
s,NUG,s,GNU,1
l,OCH,e,CHO,1
,OIK,s,IKO,1
chns,OMA,s,AMO,1
cghlprwy,OOF,,FOO,2
d,OPA,hls,AOP,1
,ORG,sy,GOR,1
n,OWT,s,OTW,1
,PAK,s,AKP,1
,PHO,nst,HOP,1
ae,POS,ehty,OPS,1
p,REZ,,ERZ,1
b,ROO,dfkmst,OOR,1
,RYU,s,RUY,1
,SAN,degks,ANS,1
,SEV,s,ESV,1
,SEZ,,ESZ,1
,SHO,degoptw,HOS,2
,SIG,hns,GIS,2
,SOC,ak,COS,1
,SOH,s,HOS,2
,SUS,s,SSU,1
,TEC,hs,CET,1
au,TES,t,EST,2
,TIX,,ITX,1
,TIZ,z,ITZ,1
s,TUM,ps,MTU,1
bcghlmrst,UMS,,MSU,1
m,UNI,st,INU,1
,VIN,aeosy,INV,1
,VOG,s,GOV,1
,WUZ,,UWZ,1
ae,XED,,DEX,1
epr,YAS,,ASY,1
deot,YER,k,ERY,1
o,YEZ,,EYZ,1
