h,AJI,s,AIJ,1
,CAF,efs,ACF,1
,CAL,fklmosx,ACL,1
,CUZ,,CUZ,1
o,DAS,h,ADS,1
,DEP,s,DEP,1
,DOH,s,DHO,1
,DUM,abp,DMU,1
d,ECO,s,CEO,1
e,EEW,,EEW,1
dm,EMO,s,EMO,1
bfghjlnprtvwz,EST,s,EST,2
,FAH,s,AFH,1
,FOO,dlst,FOO,2
,GIF,st,FGI,1
e,GIS,t,GIS,2
,GRR,,GRR,1
w,HOM,aeosy,HMO,1
s,HOO,dfkpt,HOO,1
b,LAH,s,AHL,1
,LOR,deny,LOR,1
,LUD,eos,DLU,1
,LUN,aegksty,LNU,1
i,MAM,as,AMM,1
,MEH,,EHM,1
e,MES,ahs,EMS,1
h,MMM,,MMM,1
,MOI,l,IMO,1
,MUX,,MUX,1
,NAV,esy,ANV,1
s,NUG,s,GNU,1
l,OCH,e,CHO,1
,OIK,s,IKO,1
chns,OMA,s,AMO,1
cghlprwy,OOF,,FOO,2
d,OPA,hls,AOP,1
,ORG,sy,GOR,1
n,OWT,s,OTW,1
,PAK,s,AKP,1
,PHO,nst,HOP,1
ae,POS,ehty,OPS,1
p,REZ,,ERZ,1
b,ROO,dfkmst,OOR,1
,RYU,s,RUY,1
,SAN,degks,ANS,1
,SEV,s,ESV,1
,SEZ,,ESZ,1
,SHO,degoptw,HOS,2
,SIG,hns,GIS,2
,SOC,ak,COS,1
,SOH,s,HOS,2
,SUS,s,SSU,1
,TEC,hs,CET,1
au,TES,t,EST,2
,TIX,,ITX,1
,TIZ,z,ITZ,1
s,TUM,ps,MTU,1
bcghlmrst,UMS,,MSU,1
m,UNI,st,INU,1
,VIN,aeosy,INV,1
,VOG,s,GOV,1
,WUZ,,UWZ,1
ae,XED,,DEX,1
epr,YAS,,ASY,1
deot,YER,k,ERY,1
o,YEZ,,EYZ,1
m,ACRO,s,ACOR,1
,AFRO,s,AFOR,1
,AGLU,s,AGLU,1
,AGRO,s,AGOR,1
h,AJIS,,AIJS,1
,AREG,,AEGR,1
a,ARGH,,AGHR,1
fhlsw,AUGH,t,AGHU,1
,BANC,os,ABCN,1
,BAWK,s,ABKW,1
,BAWN,s,ABNW,1
,BAZZ,,ABZZ,1
,BEAL,s,ABEL,1
,BIBE,s,BBEI,1
,BING,eo,BGIN,1
,BISH,,BHIS,1
,BLAG,s,ABGL,1
,BOBO,s,BBOO,1
,BURK,aes,BKRU,1
,CAFS,,ACFS,1
,CALS,,ACLS,1
,CAMI,s,ACIM,1
,CAVA,s,AACV,1
,CAZH,,ACHZ,1
,CERT,s,CERT,1
,CHEM,os,CEHM,2
,CHOC,ks,CCHO,1
,CINQ,s,CINQ,1
,CLEG,s,CEGL,1
,CLIT,s,CILT,1
,COMM,aosy,CMMO,1
s,CRIP,es,CIPR,1
s,CUMS,,CMSU,1
,DEPS,,DEPS,1
,DESI,s,DEIS,1
,DEVI,ls,DEIV,1
a,DOBE,s,BDEO,1
,DOHS,,DHOS,2
,DOOB,s,BDOO,1
,DOSA,is,ADOS,1
,DOSH,a,DHOS,2
,DOUT,s,DOTU,1
d,ECOS,,CEOS,1
,EEEW,,EEEW,1
,EKKA,s,AEKK,1
dm,EMOS,,EMOS,1
,ERUV,s,ERUV,1
fj,ESSE,s,EESS,1
bfghjnprtvwz,ESTS,,ESST,1
,FAFF,s,AFFF,1
,FAHS,,AFHS,1
,FILK,s,FIKL,1
,FOOS,,FOOS,1
,GACH,,ACGH,1
,GEAN,s,AEGN,1
,GIFS,,FGIS,1
,GOJI,s,GIJO,1
,GRIZ,,GIRZ,1
,GYNO,s,GNOY,1
,GYPO,s,GOPY,1
,HEPS,,EHPS,1
,HIYA,,AHIY,1
,HMMM,,HMMM,1
c,HOLO,s,HLOO,1
,HOMA,s,AHMO,1
,HOMS,,HMOS,1
,HORK,s,HKOR,1
,HWYL,s,HLWY,1
dhklmnprstw,ICKS,,CIKS,1
,JIRD,s,DIJR,1
,JIZZ,,IJZZ,1
,JOOK,s,JKOO,1
,JUDY,,DJUY,1
,KAPU,st,AKPU,1
,KETA,s,AEKT,1
,KRAI,st,AIKR,1
,KRAY,s,AKRY,1
b,LAHS,,AHLS,1
,LARN,st,ALNR,1
g,LEDE,s,DEEL,1
,LEVS,,ELSV,1
ag,LIAS,,AILS,1
,LIPO,s,ILOP,1
,LOTO,s,LOOT,1
,LUDO,s,DLOU,1
,LUDS,,DLSU,1
,LUNS,,LNSU,1
,MAKI,s,AIKM,1
i,MAMS,,AMMS,1
,MECH,s,CEHM,2
,MOFO,s,FMOO,1
,MOHO,s,HMOO,1
,MOOK,s,KMOO,1
,MUNG,os,GMNU,1
,MUSO,s,MOSU,1
,NAES,,AENS,1
,NAGA,s,AAGN,1
,NANO,s,ANNO,1
,NAVS,,ANSV,1
,NEWB,s,BENW,1
s,NIFF,sy,FFIN,1
s,NUFF,s,FFNU,1
s,NUGS,,GNSU,1
,NYAH,,AHNY,1
g,OATY,,AOTY,1
bl,OCHE,rs,CEHO,1
,OFFA,l,AFFO,1
,OIKS,,IKOS,1
,OLDE,nr,DELO,1
chns,OMAS,a,AMOS,1
d,OPAS,,AOPS,1
,ORGS,,GORS,1
,OUTA,,AOTU,1
jl,OWLY,,LOWY,1
n,OWTS,,OSTW,1
b,OXER,s,EORX,1
t,OXIC,,CIOX,1
,PAAN,s,AANP,1
,PAKS,,AKPS,1
,PALI,s,AILP,1
,PAUA,s,AAPU,1
,PERC,hs,CEPR,1
,PHOS,,HOPS,1
,PIPA,ls,AIPP,1
,POGO,s,GOOP,1
,PROB,es,BOPR,1
,PUDU,s,DPUU,1
,PULK,as,KLPU,1
,RENO,s,ENOR,1
b,ROOS,et,OORS,1
,RUKH,s,HKRU,1
,RYUS,,RSUY,1
,SEPS,,EPSS,1
,SESH,,EHSS,1
,SEVS,,ESSV,1
a,SHEN,dt,EHNS,1
