front_hooks,word,back_hooks,alphagram,definition
h,AJI,s,AIJ,a type of chili pepper [n -S]
,CAF,efs,ACF,a cafeteria or cafe [n -S]
,CAL,fklmosx,ACL,"[v -LED, -LING, -S]"
,CUZ,,CUZ,a cousin (a child of one's aunt or uncle) [n CUZZES] / [n -ES]
o,DAS,h,ADS,"DA, dad (father) [n]"
,DEP,s,DEP,a convenience store [n -S]
,DOH,s,DHO,the first tone of the diatonic scale [n -S]
,DUM,abp,DMU,cooked with steam [adj]
d,ECO,s,CEO,ecology (an environmental science) [n -S]
e,EEW,,EEW,eeew (used to express disgust) [interj]
dm,EMO,s,EMO,a style of rock music with emotional lyrics [n EMOS]
bfghjlnprtvwz,EST,s,EST,a group technique for raising self-awareness [n -S]
,FAH,s,AFH,fa (the fourth tone of the diatonic musical scale) [n -S]
,FOO,dlst,FOO,a name for temporary computer variables or files [n FOOS]
,GIF,st,FGI,a computer file in a format for images [n -S]
e,GIS,t,GIS,"GI, a white garment worn in martial arts [n]"
,GRR,,GRR,used to express anger or annoyance [interj]
w,HOM,aeosy,HMO,a sacred plant of the ancient Persians [n -S]
s,HOO,dfkpt,HOO,--used to express surprise or apprehension [interj]
b,LAH,s,AHL,la (the sixth tone of the diatonic musical scale) [n -S]
,LOR,deny,LOR,[n -ES]
,LUD,eos,DLU,a form of address to a judge in a court [n -S]
,LUN,aegksty,LNU,a lee (shelter from the wind) [n -S]
i,MAM,as,AMM,mother [n -S]
,MEH,,EHM,not impressive; boring [adj]
e,MES,ahs,EMS,"[v -SED, -SING, -SES]"
h,MMM,,MMM,mm (used to express assent or satisfaction) [interj]
,MOI,l,IMO,--used instead of {ldquo}me?{rdquo} to feign surprise when accused of something [interj]
,MUX,,MUX,"to transmit several messages simultaneously along a single channel [v -ED, -ING, -ES]"
,NAV,esy,ANV,navigation [n -S]
s,NUG,s,GNU,a chunk of wood sawn from a log [n -S]
l,OCH,e,CHO,used to express surprise or regret [interj]
,OIK,s,IKO,a very rude or stupid person [n -S]
chns,OMA,s,AMO,grandmother [n -S]
cghlprwy,OOF,,FOO,used to express discomfort [interj]
d,OPA,hls,AOP,grandfather [n -S]
,ORG,sy,GOR,an organization [n -S]
n,OWT,s,OTW,anything (a thing of any kind) [n -S]
,PAK,s,AKP,pack [n -S]
,PHO,nst,HOP,a Vietnamese soup of rice noodles and vegetables [n PHOS]
ae,POS,ehty,OPS,"PO, a chamber pot [n]"
p,REZ,,ERZ,an area of land set aside for Native Americans [n REZES or REZZES]
b,ROO,dfkmst,OOR,a kangaroo (an Australian mammal) [n ROOS]
,RYU,s,RUY,a school of Japanese martial arts [n -S]
